FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AssetsCurrent_693dc8f6-3957-4ef7-b469-3619efe08ce6
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AssetsCurrent
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_2946da00-b306-417b-b5d1-deefbd43bbeb
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_693dc8f6-3957-4ef7-b469-3619efe08ce6
calculation,to,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_2946da00-b306-417b-b5d1-deefbd43bbeb
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccountsReceivableNetCurrent_d84585f3-5156-4b10-a2d7-d2798c8573be
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccountsReceivableNetCurrent
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_693dc8f6-3957-4ef7-b469-3619efe08ce6
calculation,to,loc_us-gaap_AccountsReceivableNetCurrent_d84585f3-5156-4b10-a2d7-d2798c8573be
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_InventoryNet_2b427cf5-309f-4935-9728-ebe32770a9dd
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_InventoryNet
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_693dc8f6-3957-4ef7-b469-3619efe08ce6
calculation,to,loc_us-gaap_InventoryNet_2b427cf5-309f-4935-9728-ebe32770a9dd
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_PrepaidExpenseCurrent_ae8d606b-2330-47dd-8d1b-7158b47eacbe
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_PrepaidExpenseCurrent
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_693dc8f6-3957-4ef7-b469-3619efe08ce6
calculation,to,loc_us-gaap_PrepaidExpenseCurrent_ae8d606b-2330-47dd-8d1b-7158b47eacbe
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherReceivables_9c3f4b66-6995-48bd-b2fb-5fd67ab580c4
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherReceivables
calculation,item_type,calculation_calculationArc
calculation,order,5
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_693dc8f6-3957-4ef7-b469-3619efe08ce6
calculation,to,loc_us-gaap_OtherReceivables_9c3f4b66-6995-48bd-b2fb-5fd67ab580c4
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherAssetsCurrent_54bce92a-3652-4798-98f9-87521154d456
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherAssetsCurrent
calculation,item_type,calculation_calculationArc
calculation,order,6
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_693dc8f6-3957-4ef7-b469-3619efe08ce6
calculation,to,loc_us-gaap_OtherAssetsCurrent_54bce92a-3652-4798-98f9-87521154d456
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_Liabilities_5cdc586b-7863-4e74-bf61-0daa276991a9
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_Liabilities
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LiabilitiesCurrent_4e8365db-fbc6-4c7c-af87-67709db57212
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_LiabilitiesCurrent
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_5cdc586b-7863-4e74-bf61-0daa276991a9
calculation,to,loc_us-gaap_LiabilitiesCurrent_4e8365db-fbc6-4c7c-af87-67709db57212
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherLiabilitiesNoncurrent_293b615d-01a3-4336-9420-6475f9d788cf
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherLiabilitiesNoncurrent
